DUMP LAB | 2026-08-10_1358 UTC
Days=60 | symbols=150

================================================================
SUMMARY | DUMP v0.1_base
pump>=5.0%/6b vol>=1.7x body 4.0-9.0% risk=4% gcd=0
================================================================
Всего: 161
Wins:  34 (21.1%)
BE:    30
STOP:  97 (60.2%)
OPEN:  0
  TP2: 5
  TP1+TP2: 28
  TP1: 1
  TP1->BE: 30
  STOP: 97

Start $300.00 → Final $324.40 (+8.1%)
Total R +8.0 | Avg +0.05R | MaxDD 42.4%

--- trades ---
2026-07-11 09:45 | CAP          | body=  4.2% | TP1->BE    | 117b | +0.8R | eq=309.60
2026-07-12 01:00 | SKYAI1       | body=  4.3% | STOP       |   3b | -1.0R | eq=297.22
2026-07-12 04:00 | BLUAI        | body=  5.1% | TP1->BE    | 296b | +0.8R | eq=306.73
2026-07-12 09:00 | US           | body=  8.2% | STOP       |   1b | -1.0R | eq=294.46
2026-07-12 19:15 | BEAT         | body=  4.0% | TP1->BE    |  92b | +0.8R | eq=303.88
2026-07-13 17:45 | ESPORTS      | body=  4.2% | STOP       |   5b | -1.0R | eq=291.73
2026-07-13 20:45 | ALLO         | body=  5.4% | TP1+TP2    |  22b | +2.3R | eq=318.56
2026-07-14 04:15 | CAP          | body=  8.6% | TP1->BE    | 157b | +0.8R | eq=328.76
2026-07-14 13:30 | SOXL         | body=  5.0% | STOP       |  53b | -1.0R | eq=315.61
2026-07-14 14:00 | NBIS         | body=  4.4% | TP1+TP2    | 198b | +2.3R | eq=344.64
2026-07-14 18:00 | PUMPFUN      | body=  5.4% | STOP       |   6b | -1.0R | eq=330.86
2026-07-14 20:15 | BSB          | body=  5.4% | TP1->BE    |   7b | +0.8R | eq=341.45
2026-07-15 03:45 | ZBT          | body=  6.1% | STOP       |   2b | -1.0R | eq=327.79
2026-07-15 14:00 | SNXX         | body=  5.0% | TP1+TP2    |   2b | +2.3R | eq=357.94
2026-07-16 05:00 | BSB          | body=  6.3% | STOP       |  47b | -1.0R | eq=343.63
2026-07-16 08:00 | SNXX         | body=  5.2% | STOP       |  22b | -1.0R | eq=329.88
2026-07-16 09:45 | AKE          | body=  7.6% | STOP       |   1b | -1.0R | eq=316.69
2026-07-16 19:45 | BLUAI        | body=  4.6% | TP1->BE    |  25b | +0.8R | eq=326.82
2026-07-17 06:15 | SKYAI1       | body=  5.9% | TP1+TP2    |  68b | +2.3R | eq=356.89
2026-07-17 13:30 | KORU         | body=  4.9% | STOP       |   1b | -1.0R | eq=342.61
2026-07-17 16:45 | ESPORTS      | body=  7.5% | STOP       |   2b | -1.0R | eq=328.91
2026-07-18 04:30 | BANK         | body=  7.6% | STOP       |   1b | -1.0R | eq=315.75
2026-07-19 05:45 | US           | body=  6.9% | STOP       |   1b | -1.0R | eq=303.12
2026-07-19 07:00 | BANK         | body=  4.8% | STOP       |   4b | -1.0R | eq=291.00
2026-07-19 14:00 | BLESS        | body=  4.4% | TP1->BE    | 123b | +0.8R | eq=300.31
2026-07-20 09:45 | ESPORTS      | body=  5.4% | STOP       |   1b | -1.0R | eq=288.30
2026-07-20 10:00 | AKE          | body=  4.6% | STOP       |  10b | -1.0R | eq=276.76
2026-07-20 13:15 | ACE          | body=  8.7% | TP1->BE    |   3b | +0.8R | eq=285.62
2026-07-21 03:15 | XAN          | body=  6.9% | TP1+TP2    |  20b | +2.3R | eq=311.90
2026-07-21 03:45 | BLESS        | body=  4.7% | TP1->BE    |  76b | +0.8R | eq=321.88
2026-07-22 01:00 | BANK         | body=  7.9% | STOP       |   1b | -1.0R | eq=309.00
2026-07-23 13:30 | SOXS         | body=  5.8% | STOP       |   5b | -1.0R | eq=296.64
2026-07-24 00:00 | AKE          | body=  6.0% | TP1+TP2    |  10b | +2.3R | eq=323.93
2026-07-24 04:00 | CAP          | body=  5.5% | STOP       |   5b | -1.0R | eq=310.98
2026-07-24 09:00 | RE           | body=  4.3% | STOP       |   3b | -1.0R | eq=298.54
2026-07-24 09:45 | BEAT         | body=  6.4% | TP1+TP2    |   2b | +2.3R | eq=326.00
2026-07-24 11:00 | US           | body=  4.5% | TP1+TP2    |  93b | +2.3R | eq=356.00
2026-07-24 13:45 | AKE          | body=  6.1% | STOP       |   9b | -1.0R | eq=341.76
2026-07-24 13:45 | SNXX         | body=  5.9% | STOP       |   9b | -1.0R | eq=328.09
2026-07-24 13:45 | SOXL         | body=  5.2% | STOP       |   9b | -1.0R | eq=314.96
2026-07-24 22:45 | BLESS        | body=  7.8% | STOP       |   3b | -1.0R | eq=302.36
2026-07-25 01:30 | ESPORTS      | body=  5.7% | STOP       |   2b | -1.0R | eq=290.27
2026-07-25 05:30 | BEAT         | body=  6.9% | STOP       |   2b | -1.0R | eq=278.66
2026-07-25 06:15 | ALLO         | body=  7.8% | TP1+TP2    |   9b | +2.3R | eq=304.29
2026-07-25 07:45 | EPIC         | body=  4.5% | TP1->BE    |  11b | +0.8R | eq=314.03
2026-07-25 15:30 | ALLO         | body=  4.2% | STOP       |   2b | -1.0R | eq=301.47
2026-07-25 15:30 | BANK         | body=  4.8% | TP1->BE    |   2b | +0.8R | eq=311.12
2026-07-26 01:00 | 1000CAT      | body=  5.2% | TP1->BE    | 512b | +0.8R | eq=321.07
2026-07-26 04:00 | GWEI         | body=  4.8% | TP1+TP2    |  68b | +2.3R | eq=350.61
2026-07-26 10:00 | BEAT         | body=  5.4% | STOP       |   4b | -1.0R | eq=336.59
2026-07-27 08:00 | BANK         | body=  8.1% | STOP       |   1b | -1.0R | eq=323.12
2026-07-27 13:45 | SNXX         | body=  7.9% | TP1+TP2    |   3b | +2.3R | eq=352.85
2026-07-27 14:00 | MUU          | body=  6.1% | STOP       |  22b | -1.0R | eq=338.74
2026-07-27 14:00 | SOXL         | body=  4.8% | TP1->BE    |  20b | +0.8R | eq=349.58
2026-07-27 16:15 | BEAT         | body=  7.8% | TP1+TP2    |   8b | +2.3R | eq=381.74
2026-07-28 01:15 | BTW          | body=  7.8% | STOP       |   1b | -1.0R | eq=366.47
2026-07-28 01:15 | IOTX         | body=  4.1% | STOP       |   3b | -1.0R | eq=351.81
2026-07-28 04:00 | ESPORTS      | body=  4.6% | STOP       |  22b | -1.0R | eq=337.74
2026-07-28 13:45 | SNXX         | body=  6.7% | STOP       |   1b | -1.0R | eq=324.23
2026-07-28 14:15 | BEAT         | body=  6.8% | STOP       |   1b | -1.0R | eq=311.26
2026-07-28 16:30 | COAI         | body=  6.3% | STOP       |   2b | -1.0R | eq=298.81
2026-07-28 17:00 | BANK         | body=  5.2% | STOP       |   1b | -1.0R | eq=286.86
2026-07-29 01:30 | AKE          | body=  4.3% | STOP       |   4b | -1.0R | eq=275.38
2026-07-29 01:30 | BTW          | body=  4.4% | STOP       |   1b | -1.0R | eq=264.37
2026-07-29 01:30 | KORU         | body=  7.4% | TP1+TP2    |   5b | +2.3R | eq=288.69
2026-07-29 02:00 | COTI         | body=  5.4% | STOP       |   2b | -1.0R | eq=277.14
2026-07-29 03:15 | GWEI         | body=  4.4% | STOP       |  23b | -1.0R | eq=266.06
2026-07-29 04:00 | CAP          | body=  4.4% | TP1->BE    |  28b | +0.8R | eq=274.57
2026-07-29 13:45 | MUU          | body=  4.5% | TP1+TP2    |  23b | +2.3R | eq=299.83
2026-07-29 13:45 | SOXL         | body=  6.8% | TP1->BE    |  17b | +0.8R | eq=309.42
2026-07-29 19:45 | KORU         | body=  5.8% | STOP       |  17b | -1.0R | eq=297.05
2026-07-30 00:00 | ESP          | body=  5.3% | STOP       |  28b | -1.0R | eq=285.17
2026-07-30 00:30 | SAMSUNG      | body=  4.0% | STOP       |   2b | -1.0R | eq=273.76
2026-07-30 05:00 | CAP          | body=  6.7% | STOP       |   9b | -1.0R | eq=262.81
2026-07-30 07:15 | BANK         | body=  4.6% | TP2        |   1b | +3.0R | eq=294.35
2026-07-30 13:45 | ESPORTS      | body=  4.3% | TP1+TP2    |  13b | +2.3R | eq=321.43
2026-07-30 13:45 | SOXS         | body=  6.4% | TP1+TP2    |  45b | +2.3R | eq=351.00
2026-07-31 03:30 | BANK         | body=  6.5% | STOP       |   2b | -1.0R | eq=336.96
2026-07-31 05:45 | AKE          | body=  6.4% | STOP       |   6b | -1.0R | eq=323.48
2026-07-31 13:30 | MUU          | body=  7.7% | TP2        |   2b | +3.0R | eq=362.30
2026-07-31 13:30 | SNDK         | body=  6.9% | TP1+TP2    | 288b | +2.3R | eq=395.63
2026-07-31 13:45 | SNXX         | body=  6.7% | TP1->BE    |   3b | +0.8R | eq=408.29
2026-07-31 14:00 | SOXL         | body=  4.6% | STOP       |   2b | -1.0R | eq=391.96
2026-08-01 00:45 | CAP          | body=  6.3% | TP1->BE    |  17b | +0.8R | eq=404.50
2026-08-01 01:45 | US           | body=  5.1% | TP1->BE    |   2b | +0.8R | eq=417.44
2026-08-01 05:30 | COTI         | body=  6.5% | TP1->BE    |  26b | +0.8R | eq=430.80
2026-08-01 06:00 | BANK         | body=  9.0% | TP1+TP2    |  69b | +2.3R | eq=470.43
2026-08-01 10:00 | 1000RATS     | body=  6.9% | STOP       |   1b | -1.0R | eq=451.62
2026-08-01 10:00 | GRVT         | body=  5.9% | TP1->BE    |  28b | +0.8R | eq=466.07
2026-08-01 17:45 | BTW          | body=  5.2% | STOP       |   1b | -1.0R | eq=447.43
2026-08-02 01:00 | BLESS        | body=  7.0% | STOP       |   2b | -1.0R | eq=429.53
2026-08-02 02:45 | BEAT         | body=  4.8% | TP1->BE    |  16b | +0.8R | eq=443.27
2026-08-02 09:45 | HOME         | body=  6.7% | STOP       |   3b | -1.0R | eq=425.54
2026-08-02 16:15 | BEAT         | body=  4.3% | STOP       |   1b | -1.0R | eq=408.52
2026-08-02 16:30 | 1000RATS     | body=  7.8% | STOP       |   1b | -1.0R | eq=392.18
2026-08-03 05:30 | AKE          | body=  4.6% | TP1->BE    |  11b | +0.8R | eq=404.73
2026-08-03 09:00 | SKYAI1       | body=  5.8% | STOP       |   6b | -1.0R | eq=388.54
2026-08-03 12:30 | BLESS        | body=  7.2% | STOP       |   9b | -1.0R | eq=373.00
2026-08-03 14:15 | SOXS         | body=  4.1% | TP1+TP2    |  71b | +2.3R | eq=407.31
2026-08-03 19:45 | BTW          | body=  7.8% | TP1->BE    |   2b | +0.8R | eq=420.35
2026-08-04 03:00 | BANK         | body=  4.3% | STOP       |  15b | -1.0R | eq=403.53
2026-08-04 06:00 | 1000RATS     | body=  5.2% | STOP       |   3b | -1.0R | eq=387.39
2026-08-04 06:30 | BEAT         | body=  5.5% | STOP       |   1b | -1.0R | eq=371.90
2026-08-04 08:00 | BTW          | body=  4.2% | STOP       |   1b | -1.0R | eq=357.02
2026-08-05 06:30 | HEI          | body=  7.7% | TP1+TP2    |   2b | +2.3R | eq=389.87
2026-08-05 11:30 | ESPORTS      | body=  4.1% | STOP       |   1b | -1.0R | eq=374.27
2026-08-05 12:00 | 1000RATS     | body=  5.6% | TP1->BE    |   4b | +0.8R | eq=386.25
2026-08-05 15:00 | BLESS        | body=  7.4% | STOP       |   1b | -1.0R | eq=370.80
2026-08-05 22:00 | BTW          | body=  7.0% | STOP       |   3b | -1.0R | eq=355.97
2026-08-06 00:45 | SKYAI1       | body=  8.8% | STOP       |   2b | -1.0R | eq=341.73
2026-08-06 01:30 | HFT          | body=  5.3% | STOP       |   5b | -1.0R | eq=328.06
2026-08-06 03:15 | 1000RATS     | body=  5.4% | TP1+TP2    |  44b | +2.3R | eq=358.24
2026-08-06 04:30 | BEAT         | body=  5.4% | TP1+TP2    |  11b | +2.3R | eq=391.20
2026-08-06 06:00 | CYS          | body=  8.9% | STOP       |   5b | -1.0R | eq=375.55
2026-08-06 06:45 | BICO         | body=  4.1% | STOP       |   5b | -1.0R | eq=360.53
2026-08-06 09:15 | TUT          | body=  4.2% | STOP       |   5b | -1.0R | eq=346.11
2026-08-06 09:45 | COOKIE       | body=  6.0% | STOP       |   3b | -1.0R | eq=332.26
2026-08-06 12:30 | EPIC         | body=  5.8% | STOP       |   1b | -1.0R | eq=318.97
2026-08-06 13:15 | SNXX         | body=  4.1% | STOP       |   1b | -1.0R | eq=306.21
2026-08-06 20:15 | AAOI         | body=  6.7% | STOP       |   1b | -1.0R | eq=293.97
2026-08-07 02:15 | HEI          | body=  8.1% | STOP       |   3b | -1.0R | eq=282.21
2026-08-07 02:15 | SKYAI1       | body=  7.6% | STOP       |   2b | -1.0R | eq=270.92
2026-08-07 02:15 | ZBT          | body=  8.3% | TP2        |   2b | +3.0R | eq=303.43
2026-08-07 05:00 | BLESS        | body=  6.9% | TP2        |   2b | +3.0R | eq=339.84
2026-08-07 13:30 | SNXX         | body=  6.7% | TP1+TP2    |   2b | +2.3R | eq=371.11
2026-08-07 13:45 | KORU         | body=  5.1% | STOP       | 209b | -1.0R | eq=356.26
2026-08-07 13:45 | MUU          | body=  4.5% | STOP       |  93b | -1.0R | eq=342.01
2026-08-07 13:45 | SOXL         | body=  4.1% | STOP       |  41b | -1.0R | eq=328.33
2026-08-07 15:45 | EPIC         | body=  7.7% | STOP       |   2b | -1.0R | eq=315.20
2026-08-07 20:00 | ALLO         | body=  4.9% | TP1->BE    |  17b | +0.8R | eq=325.28
2026-08-07 20:00 | NIL          | body=  7.2% | TP1+TP2    | 119b | +2.3R | eq=355.21
2026-08-08 00:30 | C98          | body=  5.4% | TP1+TP2    | 106b | +2.3R | eq=387.89
2026-08-08 00:30 | GWEI         | body=  6.2% | STOP       |   5b | -1.0R | eq=372.37
2026-08-08 01:15 | CAP          | body=  4.1% | STOP       |   2b | -1.0R | eq=357.48
2026-08-08 01:30 | TUT          | body=  5.2% | STOP       |   2b | -1.0R | eq=343.18
2026-08-08 02:30 | HEI          | body=  5.2% | TP1->BE    |  18b | +0.8R | eq=354.16
2026-08-08 04:15 | BTW          | body=  6.1% | STOP       |   1b | -1.0R | eq=340.00
2026-08-08 05:15 | BSB          | body=  6.5% | TP1->BE    |  41b | +0.8R | eq=350.87
2026-08-08 14:15 | BICO         | body=  6.2% | STOP       |   1b | -1.0R | eq=336.84
2026-08-09 01:00 | 1000CAT      | body=  6.2% | TP1->BE    |  87b | +0.8R | eq=347.62
2026-08-09 01:30 | BLESS        | body=  4.1% | TP1+TP2    |   6b | +2.3R | eq=379.60
2026-08-09 01:30 | CYS          | body=  7.7% | STOP       |   3b | -1.0R | eq=364.42
2026-08-09 02:30 | ACE          | body=  4.1% | TP1+TP2    |  30b | +2.3R | eq=397.94
2026-08-09 03:45 | BEAT         | body=  6.1% | STOP       |   1b | -1.0R | eq=382.02
2026-08-09 05:45 | US           | body=  6.4% | TP1->BE    |   2b | +0.8R | eq=394.25
2026-08-09 06:30 | HEI          | body=  5.2% | STOP       |   7b | -1.0R | eq=378.48
2026-08-09 08:45 | CASHCAT      | body=  5.9% | STOP       |   4b | -1.0R | eq=363.34
2026-08-09 13:00 | XAN          | body=  5.0% | TP1->BE    |   7b | +0.8R | eq=374.97
2026-08-10 01:00 | COOKIE       | body=  5.0% | TP1+TP2    |  16b | +2.3R | eq=409.46
2026-08-10 01:00 | XAN          | body=  8.9% | TP2        |   4b | +3.0R | eq=458.60
2026-08-10 01:45 | BOME         | body=  8.7% | STOP       |  26b | -1.0R | eq=440.26
2026-08-10 02:30 | MUBARAK      | body=  5.8% | STOP       |   2b | -1.0R | eq=422.65
2026-08-10 03:00 | BICO         | body=  7.8% | STOP       |   7b | -1.0R | eq=405.74
2026-08-10 05:30 | NIL          | body=  7.3% | STOP       |   2b | -1.0R | eq=389.51
2026-08-10 05:45 | SQD          | body=  5.0% | STOP       |  10b | -1.0R | eq=373.93
2026-08-10 06:15 | BEAT         | body=  7.2% | STOP       |   3b | -1.0R | eq=358.97
2026-08-10 06:30 | BTW          | body=  6.8% | STOP       |   1b | -1.0R | eq=344.61
2026-08-10 07:00 | THE          | body=  4.7% | STOP       |  17b | -1.0R | eq=330.83
2026-08-10 07:30 | COAI         | body=  8.0% | STOP       |  11b | -1.0R | eq=317.60
2026-08-10 08:00 | CAP          | body=  6.8% | TP1        |  23b | +1.6R | eq=337.92
2026-08-10 09:15 | ACT          | body=  7.1% | STOP       |   7b | -1.0R | eq=324.40


================================================================
SUMMARY | DUMP v0.2_strict
pump>=8.0%/6b vol>=2.5x body 5.0-9.0% risk=2% gcd=0
================================================================
Всего: 62
Wins:  16 (25.8%)
BE:    9
STOP:  37 (59.7%)
OPEN:  0
  TP2: 12
  TP1+TP2: 4
  TP1->BE: 9
  STOP: 37

Start $300.00 → Final $394.75 (+31.6%)
Total R +15.4 | Avg +0.25R | MaxDD 16.8%

--- trades ---
2026-07-12 09:00 | US           | body=  8.2% | STOP       |   1b | -1.0R | eq=294.00
2026-07-14 20:30 | BSB          | body=  6.9% | STOP       |   1b | -1.0R | eq=288.12
2026-07-15 03:45 | ZBT          | body=  6.1% | STOP       |   1b | -1.0R | eq=282.36
